fact,question,A,B,C,D,commonSense,answer
detailed observation of celestial objects requires a telescope,Using mirrors to focus collected light from heavenly bodies allows,detailed observation,foregone conclusions,radiation experiments,celestial music,"['Telescopes use mirrors to collect and focus light', 'the reflected light from a mirror allows someone to see themselves']",A
an animal needs to eat food for nutrients,Which of these things will supplement a squirrel's caloric needs?,fish,tree bark,nuts,leaves,"['squirrels need to save food', 'plants need soil for nutrients']",C
"as the size of an object appears larger , that object will be observed better",As you look deeper into a Marbel you can see,the future,minut defects,colors,the other side,"['as object become more clear they are better observed', 'magnification makes an object appear larger']",B
a body of water is a source of water,What happens when mercury is placed in water?,it dissolves,it sinks,it floats,it hardens,"['When mercury is placed in water, it sinks.', 'water comes from water sources']",B
hawks eat lizards,"In the desert, a hawk may enjoy an occasional",coyote,reptile,bat,scorpion,"['hawks are predators', 'Hawks are carnivores']",B
a magnet attracts magnetic metals through magnetism,A magnet will stick to,a belt buckle,a wooden table,a plastic cup,a paper plate,"['magnetic rocks are attracted to magnets', 'yanking a metal to a magnet is magnetic']",A
the amount of daylight is least in the winter,Shorter periods of daylight happen,October to December,November to March,December to April,December to March,"['longer hours of daylight means greater amounts of daylight', 'short daylight hours happen in northern winters']",D
a compass is a kind of tool for determining direction by pointing north,"A person is lost in a dense forest, and needs to find their home. They know their home is to the south, and they are headed north. They can find home by using a",northern-directing device,northern light reader,northeastern winds,north central credit,"['finding new homes is moving', 'habitat is home']",A
natural gas is a nonrenewable resource,Where are you likely to find a nonrenewable resource?,a forest,a dam,a mine,a solar panel,"['natural gas and other nonrenewable resources are mined out of the ground', 'iron and steel are nonrenewable resources']",C
a flashlight converts chemical energy into light energy,"A man is searching for his dog in the woods and brings a flashlight. The flashlight has two large batteries in it, which",provide light due to wiring,provide light through plastic,use light to heat the flashlight,provide light due to moisture,"['The batteries of a flashlight use chemical energy', 'flashlights make light']",A
the summer solstice is on June 21st in the northern hemisphere,the summer solstice is on June 21st in the,in the south pacific,upper portion of earth,lower portion of earth,the equator near the tropics,"['June 21st is the summer solstice in the northern hemisphere', 'Summer Solstice is in June']",B
camouflage is used for hiding by animals from predators,"A mouse is being hunted by a Great Horned Owl. The owl watches the mouse carefully, and the mouse is unaware that it is being hunted. The mouse is unable to tell where the owl is, because",the owl is invisible,the mouse is oblivious,the mouse is blind,the owl matches its background,"['a mouse is an organism', 'a mouse is a prey to a cat']",D
a seismometer is used to measure the strength or magnitude of an earthquake,You would use a seismometer if,A mysterious rumble off the coast of Japan,Someone farted in class,Kids were stomping on the floor,to track the buzz of a bee,"['tape measures can be used to measure meters', 'to measure a room for carpet you need to measure distance']",A
mammals give birth to live young,Many animals that give birth to live young have,gills,scales,exoskeletons,legs,"['Non mammals do not birth live young', 'fish do not give live birth']",D
an organism requires energy for growth,A child will only grow if they are provided with,a bed,education,inspiration,energy,"['a child is an organism', 'sources of water provide for organisms']",D
high tide is a stage in the tide cycle process,"Every twenty-four hours and fifty minutes, the moon can have an effect on bodies of water causing them to",swell,float,die,burn,"['the moon effects the tides', 'high tide and low tide can be measured in the morning and evening']",A
if a tree falls then that tree is dead,The many trees on a forest floor,are unable to decay,are able to regrow themselves,are broken down for good,"broke, passed, will decay","['leaves are dead things that fall from trees in the fall', 'tree land is a forest']",D
a force acting on an object in the opposite direction that the object is moving can cause that object 's speed to decrease in a forward motion,"A car is driving on a highway trying to get up the the speed limit. However, there are strong winds hitting the windshield of the car. Even though the driver is trying to speed up, the high winds",flip the car over,help the car go faster,conflict with the driver's goal,move the car sideways,"['the wind is a force that acts on objects', ""the driver's goal is to speed up, wind prevents that""]",C
if a mineral can be scratched by a fingernail then that mineral is soft,"a student leaves a nail line on a mineral sample, so that mineral can be described as what?",a mineral,a soft mineral,a liquid mineral,a mineral melt,"['graphite is a mineral', 'diamonds scratch other minerals']",B
An example of a chemical change is acid breaking down substances,"An example of a chemical change is acid breaking down substances, another is",flour added to salt,milk added to water,corn added to soup,lemon juice added to milk,"['stomach acid breaks down food substances', 'acid is a chemical']",D
Matter in the gas phase has variable volume,Matter in the gas phase has,fluctuating volume,turned up volume,turned down volume,steady volume,"['Matter in the liquid phase fills the container it is in', 'Car exhaust in the gas phase']",A
earthworms create tunnels in soil,an example of an excellent earth mover is,cat,dog,annelids,fish,"['Annelids are earthworms which dig tunnels in soil', 'voles dig tunnels in soil']",C
mammals give birth to live young,Which animal gives birth to live young?,Shark,Turtle,Giraffe,Spider,"['Non mammals do not birth live young', 'fish do not give live birth']",C
a plant 's roots slowly break down rocks as the roots grow,"As a plant's roots get bigger, they split apart",worms,water,granite,atoms,"[""weathering is when a plant's roots slowly breaks down rocks"", 'plants are organisms with roots']",C
"as distance to a city decreases , the amount of light pollution will increase","In the wilderness, light pollution is?",less,stronger,brighter,more widespread,"['light concentration creates light pollution', 'with the increase of light pollution it will become harder to see the stars']",A
An example of moisture is water vapor in the atmosphere,Water vapor is an example of what?,moistness,warmth,heat,coldness,"['the vaporization of water is evaporation', 'water vapor in the atmosphere forms rain clouds']",A
an ocean is a source of heat and moisture for a hurricane,Heat and moisture in the ocean is a good recipe for,a violent storm,violent sea animals,condensation,inland storms,"['moisture is water', 'humidity is found when heat and moisture are together']",A
steam is a kind of water above 100 degrees celsius,"if the boiling point of water is attained, what ensues beyond this point?",the water turns evaporates rapidly,the water then solidifies,the water becomes black,all of these,"['100 degrees celsius is the boiling point of water', 'steam evaporates from boiling water']",A
acid rain has a negative impact on water quality,What is the most likely to be an effect of acid rain on an aquatic environment?,decrease in plant life,increase in fish population,increase in plant growth,cleaner and clearer water,"[""Acid rain could effect a car's color"", 'Your car can be damaged by acid rain.']",A
the phases of the Moon change the appearance of the Moon,When the moon is full is has a different,size,weight,distance,appearance,"['a full moon is a phase of the moon', 'a full moon is one of the phases of the moon']",D
winter is when a hemisphere is tilted away from the sun,What happens when a hemisphere is tilted away from the sun?,cools,nothing,heats,warms,"['winter occurs when the hemisphere is facing away from the sun', ""when the Earth's axis is away from the sun it is winter""]",A
alternative fuel is usually a renewable resource,One renewable fuel source is,vegetable oil,coal,fossil fuel,petroleum fuel,"['electricity is an alternate fuel source', 'light from stars is an alternative fuel']",A
a doorbell converts electrical energy into sound,I can use electrical energy to,Run a mile,Swim,bake a bagel,Rock climb,"['an electric fan converts electrical energy into mechanical energy', 'electrical energy can create sound']",C
a flower 's purpose is to produce seeds,On the list of a flower's goals would be to,produce carbon dioxide,deroot and die,produce offspring,remain sterile,"[""seeds are a flower's offspring"", 'plants are flowers, which are producers']",C
something reusable can be used more than once,"A person wants to buy some reusable equipment for the kitchen, so they get",paper plates,ceramic plates,solo cups,plastic forks,"['steel is reusable', 'using something for new purposes makes it reusable']",B
evaporation is a stage in the water cycle process,The only stage of the water cycle process that is nonexistent is,evaporation,evaluation,precipitation,condensation,"['birth is a stage in the life cycle process', 'Infancy is a stage of the life cycle process']",B
the ability to access resources has a positive impact on an organism 's survival,which of these would more likely survive?,"a lost dog by the river, with small rodents",a cat left in the desert,a man drifting a raft at sea without supplies,none of these,"['More deer, an organism, survive when there is more vegetation, which they eat to survive', 'An organisms being is its survival']",A
the moon 's surface contains many craters,The moon's surface,is smooth on the entire surface,contains large cavities cause by explosions,contains an internal core of cheese,is filled with lakes,"['the moon also contains craters', 'The moon has craters and smooth areas']",B
a greenhouse is used to protect plants from the cold,Greenhouses,trap the dangerous gases released by plants,protect plants from snow and frost,keep plants from getting warm,protect plants from mild weather,"['greenhouses protect from insects', 'greenhouses protect plants and flowers from the elements']",B
a planet rotating causes cycles of day and night on that planet,Earth rotating causes,the cycling of AM and PM,the creation of volcanic eruptions,the cycling of the tides,the creation of gravity,"['Jupiter is a planet with rotations that cause cycles of day and night on the planet', 'rotation of planet causes setting of sun']",A
a stove generates heat for cooking usually,which one of these can help a person cook their food?,a stack of clothes,a stack of cans,a pack of cigarettes,a counter cooker appliance,"['heat can cook food', 'heat is used to cook food']",D
sunlight produces heat,Sunlight produces heat that causes,dogs to bark,stones to form,warmth on bodies,plastic to form,"['the sun is a producer of heat', ""The sun's rays produce heat.""]",C
a tape measure is used to measure length,with which could you tell the exact size of an object?,a plain stick with irregular shape,a plastic tape with graduated markings,a thermometer with mercury in it,a metal cooking spoon,"['I can measure my body with a tape measure.', 'tape measures can be used to measure meters']",B
reproduction produces offspring,Which would be the result of the breeding of two wolves?,kittens,wolf pups,fox pups,dog pups,"['offspring are the results of egg laying', 'wolf pups are the offspring of wolves']",B
a scale is used for measuring weight,Scales,measure how much belly fat the user has,measure height of the user,help users know if they need to drop some lbs.,help users determine their blood sugar levels,"['scales measure weight', 'scales would indicate if someone was overweight']",C
a producer is a source of sugar in an ecosystem,"When producers create food in an ecosystem, a portion of the nutrients are",carbs,energy,grass,flowers,"['environments are ecosystems', 'an environment is also an ecosystem']",A
friction acts to counter the motion of two objects when their surfaces are touching,Two ships grazing each other as they pass will,cause mayhem,sink them,speed them up,slow them down,"['motion happens when something is touched with push', 'friction works against motion']",D
a battery converts chemical energy into electrical energy,A battery converts chemical energy into,energy stored due to the relative positions of charged particles or electric fields,energy stored due to the bombardment of particles,energy stored between the cells of nonadjacent particles,energy that is broken down in particles,"['batteries are a form of chemical energy', 'The batteries of a flashlight use chemical energy']",A
chlorophyll is used for absorbing light energy by plants,The leaves of a plant benefit from?,dog,sun,human,dust,"['plants use chlorophyll to make energy from sunlight', 'plants absorb sunlight energy']",B
a quartz is made of six-sided transparent crystals,Quartz may produce rainbows when light is shined,around the crystal's area,through any of its sides,in the room its in,in to a mirror at it,"['quartz is harder then glass', 'quartz is a crystal that regulates electronic oscillators in watches']",B
if fossils of a water animal or plant are found in a place then that place used to be covered by water in the past,"A woman is digging under a tree on a tall mountain. She is looking for interesting rocks, and a foot down into the soil, discovers a fossilized fish skeleton. From this discovery, the woman is able to determine that",the mountain used to be underwater,some bears in mountains eat fish,some fish can climb mountains,sometimes rain can move fish to high spaces,"['fossils are skeletons in stone', 'tall areas are mountains']",A
eyes are used for seeing by animals by sensing light,Which animal lacks the ability to see by sensing light?,Southern cave crayfish,lobster,cod,salmon,"['eyes use light to see', 'Eyes are used for seeing']",A
a skunk produces a bad odor,Which animal emits something that many autistic people would be extra sensitive to?,cow,dog,cat,skunk,"['skunks have bad odors', 'skunks make bad odors']",D
an earthquake usually occurs over a period of 10 to 30 seconds,which of these usually occur over the shortest period?,a super size earthquake,a torrential rain fall,all of these,the eruption of a volcano,"['drought is a period of less than usual precipitation', 'The wind makes things smaller over long periods of time.']",A
if it is night then the sun has set,If the sun has set it is,easy to cook a meal,time to eat breakfast,necessary to wear a coat,harder to see outside,"['rotation of planet causes setting of sun', 'The sun sets early in December.']",D
magnifying glass is used to see small things by making objects appear bigger,A magnifying glass,would allow the user to better view the legs on an ant,would enhance the smell of a viewed specimen,would blur the legs of an ant,would enhance the feel of the user,"['magnifying glasses are magnifiers', 'magnifying glasses increase your ability to see']",A
the vanes rotating in an electric fan causes air to move,What do rotating vanes on an electric fan do to air?,dampen,circulate,cool,warm,"['vanes are rotating flat surfaces', 'table fans use electricity']",B
the skeletal system protects internal organs,An animal would have its inner parts better protected if it had which of these?,a backpack on its back,a calcium fortified internal structure,none of these,a shell of cotton,"['skin is the outermost organ which protects the inner organs', 'ribs are part of the skeletal system']",B
a plants require water for to grow,Plants require this to grow,fertilizer,cool temperatures,non-organic matter,H2O,"['Plants need light to grow', 'dampness comes from water, which plants require to grow and live']",D
renewable resources can be used over again,Renewable resources,often come from fossil fuels,take centuries to biodegrade,can be used ad infinitum,should be used conservatively,"['Air and water are renewable resources', 'light from the sun is a renewable resource']",C
if something is outside during the day then that something will receive sunlight,a day hiking will most likely result in which of these?,a paling of the skin,a greening of the skin,an even darker tone,none of these,"['a day-night cycle is a day', 'some plants need warm light during the day']",C
refraction causes something to look different,Refraction,makes objects appear to be twice their size,moves heat energy thru sound waves,is the phenomenon involved in mirrors,makes a straw appear broken when in a cup of water,"['something can look different if it is viewed through a refraction', 'refraction alters appearance']",D
condensation is a stage in the water cycle process,which of these can be considered a stage in the water cycle?,all of these,the combination of nails and hammers,the presence of H20,the combination of chlorine and gas,"['birth is a stage in the life cycle process', 'Infancy is a stage of the life cycle process']",C
the sun is the source of energy for life on Earth,Which of these items is required for a deer to live,sun,iron,sand,cafeteria,"['The sun is a source of heat for the earth', 'deer are one type of life on Earth']",A
national parks limit hunting,Where is the best place to shoot animals?,national park,sky,forest,sea,"['limits on hunting make it not the best place to shoot animals', 'a limit might be in place for deer hunting at the park']",C
a spider web is used to capture food by spiders,Spiders can catch prey by doing all aside from,building webs,building traps,hunting,howling,"['spiders are small animals', 'Wrecking a spiders web means they cant catch food']",D
sending electricity through a conductor causes electricity to flow through that conductor,When does electricity flow through a conductor?,when it's outside around lighting,when it's attached to a battery,when it's attached to a human,when it's near a light bulb,"['steel is an electrical conductor', 'copper is an electrical conductor']",B
a stopwatch is used to measure time,I can use a stopwatch to track,The number of freckles I have on my back,How long the road is,My weight loss in 6 months,how many marshmallows I can eat in 10 minutes,"['A stopwatch can be used to track things in a certain amount of time.', 'running times are effectively measured by stopwatches']",D
kilometers km are a unit used for measuring distance generally used for values between 1 and 50000000,"If John were going to the store, how would he measure his trip?",kilometer,centimeter,decameter,meter,"['a trip is usually measured in miles or kilometers', 'F is a unit for the measure of temperature']",A
"when an electrical conductor is plugged into an outlet , a circuit is completed",A man plugs his television into an outlet behind a cabinet. He sees that the television may now be turned on so that he can watch his favorite show. The man knows that by hooking the t.v. cord into the outlet,he completed a lap,he made a good deal,he invented new circuits,he completed a circuit,"['flashlights charge by being plugged into outlets', 'plugging a television in completes a circuit']",D
solar energy is a renewable resource,Which type of energy is the most environmentally friendly?,Coal,Petroleum,Natural Gas,Sunlight,"['Renewable resources are environmentally friendly', 'sunlight is solar energy']",D
Matter in the solid phase has definite shape,Which form can be made into a triangle?,ice,steam,water,salt water,"['ice is the solid phase of water', 'water can be frozen into shapes']",A
a candle is a source of light when it is burned,who would see better through an underground tunnel?,a boy with a pen,a man with a stick,a man with a spoon,a man with a candle and match,"['Rabbits tunnel underground.', 'moles dig tunnels underground, tunnels protect the creatures that use them']",D
the increase of something required by an organism has a positive impact on that organism 's survival,There are now many more people because of,efficient farming,more cities,computers,global warming,"['More deer, an organism, survive when there is more vegetation, which they eat to survive', 'An organisms being is its survival']",A
"when water freezes , that water expands",Water in a sealed jar might do what when placed in the freezer?,evaporate,break it,melt,run off,"['water will freeze in a freezer', 'frozen water is water that is freezing']",B
cooking causes a chemical reaction,What causes a chemical reaction?,mixing and heating edible items,putting water in a bowl,petting a small cat,rolling a ball on a floor,"['burning is a chemical reaction', 'Fire is a chemical reaction']",A
usually plants store the food they produce for future use,What stores food for future use and is green?,bacteria,trout,virus,tree,"['Plants use the sun for their food.', 'plants also store water']",D
"when water freezes , that water expands",Filling a bottle full of water and then placing it in the freezer can lead to,loosening of the bottle lid,deflation of the bottle,ice cubes in the freezer,bursting of the bottle,"['water will freeze in a freezer', 'frozen water is water that is freezing']",D
magnetism does not require contact between objects to act,What functions without contact between objects?,weight,friction,opposites attracting,pressure,"['magnetism can act without contact', 'glaciers force contact between rocks']",C
the moon does not contain water,Which doesn't contain water?,Sea of Tranquilitiy,Caspian Sea,Dead Sea,Caribbean Sea,"['chloroplast contain chlorophyll which does the photosynthesis', ""the moon doesn't have an atmosphere""]",A
In the food chain process fungi have the role of decomposer,Fungi,can do their food chain jobs without ingestion,act as predators in the food chain,are always safe to ingest,occupy the top of the food chain,"['fungi are decomposers', 'fungi growing on tree trunks decomposes it']",A
"as an object descends into water , the pressure on that object will increase","Compared to a regular swimmer, a scuba diver deals with more",heat,pressure,water,air,"['a scuba diver usually goes a lot deeper than an average swimmer', 'as an object moves up through the air, the pressure on that object will decrease']",B
if a living thing dies then that living thing is dead,What is an example of the fact that a thing is dead once it dies after having previously lived?,a small squirrel falls from a tree and breaks its leg,a panda stops eating and falls into a coma,a dog is paralyzed and is unable to move,a vibrant cat is deceased after being hit by a car,"['a tree is a living thing', 'plants are living things']",D
clouds produce rain,Thunder clouds are,filled with beautiful music,of a significant weight,the color light pink,take 10 years to form,"['cloud precipitation is rain', 'rain comes from clouds']",B
"as the smoothness of something increases , the friction of that something will decrease when its surface moves against another surface",If someone is experiencing frequent falls,they should move out of their house,they should just stop trying to walk,they should try wearing slicker bottomed shoes,they should try putting down carpet or throw rugs,"['falling is when something meets the ground', 'Displacement is the moving of something from its position']",D
"as the size of an object appears larger , that object will be observed better",It is easiest to get a clear photo of the moon by,using a large magnifying glass,using a telephoto lens,using a telescopic lens,looking through a microscope,"['as object become more clear they are better observed', 'magnification makes an object appear larger']",C
An example of collecting data is measuring,Filling a glass with markers for cup amounts on it would be,seeing how much data is left on a phone,a part of making chili,a way to consider getting something,a way to collect data,"['a notebook can be used to collect data', 'Interviews are used to collect data.']",D
a new season occurs once per three months,Winter snows follow Autumn's falling leaves by,three months,three days,three years,12 months,"['three per season', 'Winter and Autumn are seasons']",A
squirrels gather nuts in the autumn to eat during the winter,The way that squirrels put away food during the cool season ensures that they,survive,eat,live,grow,"['Squirrels conserve nuts over winter', 'squirrels bury nuts']",A
consumers eat other organisms,An example of a consumer would be,a deer munching grass,a plant beginning to photosynthesize,a squirrel eating a bug,a wolf eating a deer,"['rabbits are consumers', 'wolves are consumers']",A
processes sometimes produce waste products,Eating and digesting a large meal is guaranteed to produce,disease,fecal matter,fuel,fertilizer,"['digesting produces nutrients', 'plants are producers']",B
a canyon is made of rocks,"Canyons are generally old, huge, and breathtaking and are",brimming to full with sand,filled with local wildlife,dirty and muddy inside,typically materialized with stone,"['canyons are formed by rivers', 'canyons have echoes']",D
humidity is the amount of water vapor in the air,"If a room is going to be humid, or dry, depends on how much water vapor is in the air, so if a room wants to be humid",run a bath,use a dehumidifier,open a window,hope it rains,"['humidity is the amount of water vapor in the air', 'humidity has water vapor']",A
"as lightness in color of an object increases , the ability of that object to reflect light will increase",What impacts an objects ability to reflect light?,color pallete,weights,height,smell,"['The color of an object is the result of the way the object reflects or emits light.', 'objects make light']",A
iron nails are made of iron,which of these would make an ideal object to drive in with a hammer?,an iron nail,a metal nail,a steel nail,all of these,"['Iron things are made of iron', 'hammers drive in nails']",D
planting native plants has a positive impact on an ecosystem,local plant varieties are the best for improving the local,social status,environs,satellite reception,future,"['locales are environments', 'A locale is an environment']",B
sending electricity through a conductor causes electricity to flow through that conductor,Electricity sent through a conductor,halts the functioning of the conductor,moves like traffic through a green light,causes fire to flow through the conductor,flows heat back to the conductor,"['steel is an electrical conductor', 'copper is an electrical conductor']",B
the sun is a source of light called sunlight,"The sun is a source of which, first and foremost?",Light,Energy,Heat,Nutrients),"['the sun is a source of heat', 'The sun is a source of heat for the earth']",A
"as a source of light moves directly overhead of an object , the size of the shadow of that object will decrease",Where in the world will a person have the smallest shadow at noon?,the arctic circle,the south pole,the north pole,near the equator,"['the size of the shadow', 'when the sun is overhead, shadows disappear']",D
oil is a source of gasoline,Oil is a source of a material used for an object with,wood planks,cardboard,a large stone,wheels,"['oil fields are the source of oil', 'gasoline is made from oil']",D
a magnet attracts ferromagnetic metals through magnetism,A magnet would attract a,Wooden hairbrush,Oranges,Glassware,Zippers,"['magnetic rocks are attracted to magnets', 'magnetic attraction is a force']",D
"when a habitat can support living things , living things can live in that habitat",What sort of habitat would living things live in?,A habitat with plenty of water,A habitat with varying weather,A habitat that most animals choose,A habitat with many toys,"['plants are living things', 'a tree is a living thing']",A
recyclable means a material can be recycled,"A person finishes drinking a bottle of water and notices that at the bottom of the bottle is a small symbol, consisting of three arrows in a triangular shape. This symbol tells the person that they should",have it reprocessed,burn the bottle,reuse the bottle,remake the bottle,"['soda bottles are recyclable', 'expanding of frozen ice in a bottle will burst the bottle']",A
scientists make observations,"In order to better understand the world around us, specialists",watch several educational programs,discuss topics with laymen,"inspect, note, and consider",make notes in books,"['light can be seen and used to see the matter around us', 'to understand is to comprehend']",C
microorganisms cause food to spoil,"A woman leaves some meat on the counter, and bacteria begins to quickly grow on the surface. This bacteria may cause",turned food,growing beans,sticky toffee,pocked oranges,"['bacteria causes sickness', 'Bacteria will build up on food out in the open']",A
the Earth revolving around the sun causes stars to appear in different areas in the sky at different times of year,Stars appear in different areas in the sky at different times of year due to what?,Earths Rotation,Changing Weather,Suns Rotation,Time Change,"['different areas have different climates', 'Different parts of the world have different seasons at the same time']",A
ethanol sometimes is made of corn,Corn can sometimes,be grown in arctic environments,be used as kindling,fuel a steam locomotive,fuel an economy car,"['corn is a plant', 'ethanol is a bio fuel made from corn.']",D
strumming a string can cause that string to vibrate,strumming a string can cause what type of wave?,Tidal,Pressure,Light,Dark,"['vibrating strings cause wood to resonate', 'pulling your finger over a guitar string is called strumming']",B
coral lives in the ocean,Coral is a type of living organism which can be identified in,only in the pacific ocean,saltwater locations that are open,any where with liquid,water sources in america,"['organisms are living beings', 'Algae give coral their color.']",B
"as the number of sources of food increase in an environment , the population of the organisms will increase in that environment","Having reliable plant sources in a field, a rabbit may react by",having larger litters,finding a mate,eating more food,finding new food,"['an animal leaving an environment reduces the number of that animal in that space', 'a boom in population is an increase']",A
sediment is formed by weathering,The layer of material on the bottom of the Snake River was put there by what?,fish swimming,weather related degradation,global warming,animal movement,"['canyons are formed by rivers', 'river stones are smoothed by weathering']",B
"photosynthesis means green plants convert from carbon dioxide, water, and solar energy into oxygen for themselves","Which converts carbon dioxide, water, and solar energy into oxygen?",chrysanthemum,mistletoe,mushroom,mole,"['plants use carbon dioxide during photosynthesis', 'carbon dioxide is a gas']",A
December is during the summer in the southern hemisphere,December is in the summer in what,the southern part of cities,the northern part of Earth,the southern part of the third rock,the southern part of every rock,"['summer is the opposite in southern hemisphere', 'December is also during the winter in the northern hemisphere']",C
cool temperatures cause animals to shiver,Trembling muscles spasms in animals can be caused in party by,temperature in single digits,temperatures in triple digits,finding the right temperatures,being unaware of the temperature,"['trembling is shivering', 'trembling happens in earthquakes']",A
the number of rings in a tree trunk can be used to estimate the age of the tree,The number of lines found in a tree bore will tell you?,variety,sturdiness,the age,the height,"['lines in a tree bore will equal the number of rings in a tree', 'looking in a tree is how you can tell age']",C
"when pollen sticks to a hummingbird , that pollen will move to where the hummingbird moves",Hummingbirds take what with them,Bees,energy,Pollen,Honey,"['hummingbirds are birds', 'hummingbirds are pollinators']",C
decomposition increases amount of organic matter in soil,To naturally increase the amount of organic matter in soil add,fungi,sunflowers,trees,voles,"['organic matter in soil contributes to its fertility', 'life matter is organic']",A
being burried under soil and mud changes peat into coal through extreme heat and pressure in a swamp over a long period of time,Peat is an important factor when,Driving a new car,Putting a fresh raspberry seed in soil,Taking the temperature for the day,Having a large breakfast,"['fossils form from peat or mud after a long period of time and are rock', 'peat is good for plants']",B
living in an environment causes an organism to adapt to that environment,"When a bird is living in a certain segment of the world, it can become part of that environment along with predators and food sources, the process being called what?",animals reproduce,preyed upon,adapted to it,predators get it,"['predators and food are part of the environment', 'long ears are an adaptation to living in high heat environments']",C
An example of using tools is a chimpanzee digging for insects with a stick,Chimpanzees dig for insects with sticks; what is another example of using tools?,birds using twigs to build nests,otters using rocks to open clams,anteaters using their tongue to catch ants,koalas using their pouch to hold infants,"['boring is digging', 'rocks are tools used by otters']",B
carbon dioxide can be found in the air,Carbon dioxide exists where it does because,humans expel it,deer eat it,birds use it,trees absorb it,"['carbon dioxide is a gas', 'carbonic anhydride is carbon dioxide']",A
the moon does not contain water,What covers over 90% of the Earth's surface and 0% of the moon's surface,a magnesium iron silicate mineral,chemical element with the symbol S,the element with the symbol Fe,that which contains 2 hydrogen and 1 oxygen molecules,"['the moon orbits the Earth', 'a full moon is one of the phases of the moon']",D
a berry contains seeds,Why do  berries exist?,reproducing,food for animals,growth,food storage,"['berries have seeds', 'berries grow on berry bushes']",A
the lunar surface contains many craters,The biggest things on the moon are,space stations,alien life forms,craters,moon rocks,"['the moon also contains craters', 'craters are caused by explosions/impacts on the moon']",C
if two animals have the same food source then those two animals compete for food,Which set of animals don't compete for food?,dolphin and fish,hyena and bear,whale and cat,eagle and raven,"['dogs hunt victim animals for food, and will compete if needed', 'when an animal wins the competition for resources it has out competed the other animals']",C
a glacier moves slowly,will a glacier travel at greater speeds than a sea going vessel?,maybe it moves faster,this is likely to be false,all of these,odds are in its favor,"['glaciers are frozen water', 'glaciers moving tear up land']",B
An example of a change in the Earth is an ocean becoming a wooded area,Something that shows that the earth changes is,a city where a tree was,a lake where a tree was,a tree where a bird was,a plant where a rock was,"['things changing is a part of the earth changing', 'the ocean is on the Earth']",B
volcanoes are often found under oceans,"A lot of people think that volcanoes may only exist in tall mountains that tower above us, but a lot of volcanoes",fall into the oceans,are water leaking volcanoes,erupt into the sea,are found and erupt beneath the water,"['The moon has dead volcanoes.', 'volcanoes have heat and pressure']",D
a force acting on an object in the opposite direction that the object is moving can cause that object 's speed to decrease in a forward motion,A car slowed down because of,bad brakes,the engine size,the wind,the steering wheel,"['the wind is a force that acts on objects', 'as an object moves up through the air, the pressure on that object will decrease']",C
raccoons eat waste,"The lights were turned off in a room, who could find the light switch?",Mice,Elephants,Raccoons,Hamsters,"['switches can turn off lights', 'waste attracts raccoons']",C
slope is a measure of the difference in elevation between one part of the land and another part of the land,slope is a measure of the difference in elevation from the top to the base of a,penny,tower,pyramid,box,"['Different parts of the world have different seasons at the same time', 'a lower elevation is a decreased elevation']",C
a polar bear requires a cold environment,"In a zoo, a polar bear exhibit will contain",salt,cacti,strong fans,sand,"['polar bears are an organism adapted to a cold environment', 'polar bears are white']",C
precipitation is when rain fall from clouds to the Earth,Precipitation sometimes leads to,mountains,earthquakes,volcanoes,caves,"['cloud precipitation is rain', 'precipitation is rain']",D
scientists make observations,When the scientist finally completed his new invention he thanked his,powers of observation,lucky stars,mother,grandmother,"['scientists invent things', 'his plan was to make lights work']",A
